Decision,Abbr,State,Status,Law Passed,Status Detail,Milestones,Source Name,Source URL
,AK,Alaska,none,"Alaska HB 25 (polystyrene foam foodware ban) passed both chambers with bipartisan support but was vetoed by Governor Dunleavy on June 25, 2026. No EPR packaging legislation has been introduced or passed in Alaska.","HB 25, which would have banned restaurants and state agencies from using single-use polystyrene foam foodware beginning January 1, 2027, passed the Alaska Senate on May 18, 2026, and the House earlier that spring, then was vetoed by Governor Mike Dunleavy on June 25, 2026. The governor cited economic burdens on small businesses and an unrealistic implementation timeline. The bill did not reach the 40-vote threshold needed for a legislative override. No EPR packaging bill—covering any packaging material including bags, film, or other formats—has been introduced in Alaska in the current or recent legislative sessions.","HB 25 (polystyrene foodware ban) passed Alaska House and Senate with bipartisan support, spring 2026 | Governor Dunleavy vetoed HB 25 on June 25, 2026; no override attempt planned | Alaska 34th Legislature (2025–2026) adjourned; all non-carried-over bills must be reintroduced in 2027 | No EPR packaging bill introduced in Alaska in the 2025–2026 legislative cycle","Resource Recycling – Alaska governor vetoes polystyrene foam foodware ban (June 26, 2026); Plastics Today – Dunleavy Blocks Bipartisan Bill Targeting Single-Use Plastic Foam (June 27, 2026); Alaska Public Media – Dozens of Alaska bills meet their fate at Gov. Dunleavy's desk (June 27, 2026); Sustainable Packaging Coalition – Packaging Policy Roundup (June 22, 2026); Alaska State Legislature – 34th Legislature Bill Search",https://resource-recycling.com/policy-now/2026/06/26/alaska-governor-vetoes-polystyrene-foam-foodware-ban/ ; https://www.plasticstoday.com/legislation-regulations/alaska-governor-vetoes-statewide-polystyrene-foodware-ban ; https://alaskapublic.org/news/politics/alaska-legislature/2026-06-26/dozens-of-alaska-bills-meet-their-fate-at-gov-dunleavys-desk ; https://sustainablepackaging.org/2026/06/22/packaging-policy-news/ ; https://www.akleg.gov/basis/Home/BillsandLaws
,CA,California,passed,"California SB 54 (Plastic Pollution Prevention and Packaging Producer Responsibility Act, enacted June 2022) has finalized implementing regulations effective May 1, 2026, and is now in active implementation with multiple legal challenges pending.","Final permanent regulations were approved by the California Office of Administrative Law on May 1, 2026 and took effect immediately, triggering a June 1, 2026 producer registration deadline with CAA or CalRecycle. CAA submitted its inaugural California EPR Program Plan to the Advisory Board on June 15, 2026, opening a public comment period through August 14, 2026. Two separate lawsuits challenging the regulations were filed in June 2026 — one by environmental groups in California state court on June 2, and a federal constitutional challenge by a coalition of 17 state attorneys general and the National Association of Wholesaler-Distributors on June 22 — but the regulations remain in effect and CalRecycle and CAA are proceeding with implementation toward a full program launch by January 1, 2027.","June 2022: SB 54 signed into law by Governor Newsom | March 7, 2025: Governor Newsom declined initial CalRecycle draft regulations, directing a restart of rulemaking | May 1, 2026: Permanent SB 54 regulations approved by the Office of Administrative Law and effective immediately | June 1, 2026: Producer registration deadline with CAA or CalRecycle | June 2, 2026: NRDC, Californians Against Waste Foundation, and Oceana filed state court suit challenging final regulations | June 15, 2026: CAA submitted draft California EPR Program Plan to the Advisory Board | June 22, 2026: Coalition of 17 state AGs and NAW filed federal constitutional challenge to SB 54 in Eastern District of California | August 14, 2026: Public comment deadline on CAA draft program plan | January 1, 2027: Full EPR program launch scheduled","Holland & Knight – California's Final EPR Regulations Now in Effect (May 2026); Holland & Knight – States, Industry Groups and Environmental Advocates Challenge California Plastics Rule (June 2026); Mayer Brown – California's SB 54 EPR Regulations Take Effect (June 2026); Beveridge & Diamond – CalRecycle Reissues Draft SB 54 Regulations (May 2025); Proskauer – Extended Producer Responsibility (EPR) Packaging Law Update (July 2026); Circular Action Alliance – California SB 54 Program Page; CalRecycle – SB 54 Packaging EPR Official Page; DLA Piper – California's EPR Program Plan: Costs, compliance, and design considerations (June 2026); DLA Piper – Navigating Antitrust Compliance Under California's SB 54 (July 2026); Packaging Dive – EPR for Packaging Laws: Dates to Know (May 2026)",https://www.hklaw.com/en/insights/publications/2026/05/californias-final-epr-regulations-now-in-effect ; https://www.hklaw.com/en/insights/publications/2026/06/states-industry-groups-and-environmental-advocates-challenge ; https://www.mayerbrown.com/en/insights/publications/2026/06/californias-sb-54-epr-regulations-take-effect-key-deadlines-and-compliance-obligations-for-producers ; https://www.bdlaw.com/publications/calrecycle-reissues-draft-sb-54-regulations-targeting-californias-plastic-packaging-epr-program/ ; https://www.proskauer.com/alert/extended-producer-responsibility-packaging-law-update ; https://circularactionalliance.org/california ; https://calrecycle.ca.gov/packaging/packaging-epr/ ; https://www.dlapiper.com/en-us/insights/publications/2026/06/californias-epr-program-plan ; https://www.dlapiper.com/en-la/insights/publications/2026/07/navigating-antitrust-compliance-under-california-sb-54 ; https://www.packagingdive.com/news/extended-producer-responsibility-packaging-laws-regulations-calendar/727548/
,CT,Connecticut,none,"No packaging EPR law has passed in Connecticut. Two bills attempted in the 2025 and 2026 sessions both failed: HB 6917 (2025 session, packaging-EPR feasibility study) died after being tabled on the Senate calendar on June 4, 2025, and HB 5151 (2026 session, EPR recommendations based on waste characterization study) died in committee when the 2026 legislative session ended.","Connecticut has no enacted packaging EPR law and no active packaging EPR bill. HB 6917, introduced in the 2025 session to mandate a study on the need and viability of packaging EPR by January 15, 2027, passed the House but died on the Senate calendar. HB 5151, introduced February 11, 2026, which would have required EPR recommendations derived from the state's waste characterization study, also died in committee at the close of the 2026 session. The Connecticut DEEP product stewardship page confirms no packaging EPR program exists; the state's enacted EPR laws cover e-waste, paint, mattresses, mercury thermostats, gas cylinders, tires, and batteries only.","2025 session: HB 6917 (packaging-EPR feasibility study bill) passed House, tabled on Senate calendar June 4, 2025, died without enactment | 2026 session: HB 5151 (EPR recommendations from waste characterization study) introduced February 11, 2026, died in committee at session end | No packaging EPR bill has been reintroduced or carried over into any active 2026 post-session period as of August 2026","Proskauer Rose LLP – EPR Packaging Law Update (July 1, 2026); Connecticut DEEP – Extended Producer Responsibility and Product Stewardship; National Law Review – Snapshot of EPR in 2025 (July 16, 2025); Compliance & Risks – Packaging EPR Expansion: New Developments Across the U.S. (May 26, 2025); Policy Pickup – Weekly Policy Pickup (May 2026, re: HB 5151 and HB 5524 deaths in committee)",https://www.proskauer.com/alert/extended-producer-responsibility-packaging-law-update ; https://portal.ct.gov/DEEP/P2/Product-Stewardship/Product-Stewardship ; https://natlawreview.com/article/snapshot-extended-producer-responsibility-2025 ; https://www.complianceandrisks.com/blog/packaging-epr-expansion-new-developments-across-the-u-s/ ; https://policypickup.substack.com/p/weekly-policy-pickup-cb0
,DE,Delaware,pending,"Delaware SB 287 (153rd General Assembly, 2025–2026 session), an act amending Title 7 of the Delaware Code relating to solid waste recycling, passed both legislative chambers unanimously in June 2026 and is enrolled awaiting governor action. Delaware has not enacted a comprehensive EPR packaging producer responsibility law.","SB 287 passed the Senate 20-0 on June 16, 2026 and the House 41-0 on June 30, 2026, and is currently enrolled (75% progression) pending gubernatorial action. The bill amends Delaware's existing solid waste recycling framework under Title 7 but is not a full producer responsibility organization (PRO) or fee-based EPR packaging law. Delaware remains outside the group of seven states (Maine, Oregon, Colorado, California, Minnesota, Maryland, Washington) that have enacted comprehensive EPR packaging programs.","SB 287 introduced April 21, 2026, amending Title 7 relating to solid waste recycling | Senate passed SB 287 unanimously (20-0) on June 16, 2026 | House passed SB 287 unanimously (41-0) on June 30, 2026 | SB 287 enrolled as of June 30, 2026 — awaiting governor signature | No comprehensive EPR packaging producer responsibility bill enacted or currently advancing in Delaware","LegiScan – Delaware SB287 (2025–2026, 153rd General Assembly); Mayer Brown – EPR Packaging Laws Moving from Concept to Compliance (Feb. 2026); Holland & Knight – What You Need to Know About State EPR Laws (Jan. 2026); Proskauer – Seven States and Counting: The 2025 Guide to EPR Packaging Compliance; Sustainable Packaging Coalition – EPR Guide to All Policies; Delaware General Assembly – LegiScan Dashboard (153rd General Assembly)",https://legiscan.com/DE/bill/SB287/2025 ; https://www.mayerbrown.com/en/insights/publications/2026/02/epr-packaging-laws-moving-from-concept-to-compliance ; https://www.hklaw.com/en/insights/publications/2026/01/the-latest-pandoras-box-what-you-need-to-know-now-about-state-epr-laws ; https://www.proskauer.com/alert/the-2025-guide-to-epr-packaging-compliance ; https://epr.sustainablepackaging.org/policies ; https://legiscan.com/DE
,FL,Florida,none,"No EPR packaging law has passed in Florida. The 2026 legislative session (January 13 – March 13, 2026) concluded without any EPR packaging bill enacted. A preemption-expansion bill (SB 766 / HB 629) was introduced in January 2026 but died without advancing. Florida remains without any producer responsibility program for packaging and continues to preempt local governments from regulating auxiliary containers, wrappings, and disposable plastic bags.","Florida has no enacted EPR packaging legislation and was not among the states that introduced EPR packaging bills in the 2026 session. In 2025, three related bills (HB 565 / SB 1822 — state preemption expansion, and HB 6023 / SB 836 — preemption repeal) all died in committee. In 2026, companion bills SB 766 and HB 629 (another preemption-expansion attempt) were introduced on January 13, 2026, but the session adjourned March 13, 2026 with no action taken on them. No EPR packaging bill of any kind was introduced in Florida in either the 2025 or 2026 legislative sessions.","2025: HB 565 / SB 1822 (preemption expansion covering bags, wrappings, plastic film, and all auxiliary containers) died in committee — HB 565 in Intergovernmental Affairs Subcommittee (June 16, 2025); SB 1822 laid on table (April 29, 2025) | 2025: HB 6023 / SB 836 (preemption repeal for auxiliary containers, wrappings, disposable plastic bags) also died in committee on June 16, 2025 | 2026 session (Jan 13 – Mar 13, 2026): SB 766 / HB 629 (preemption expansion, auxiliary containers) introduced January 13, 2026; session adjourned without action — bill failed for third consecutive year | Florida not listed among any state with an active EPR packaging bill in 2025 or 2026 by Mayer Brown, Holland & Knight, Proskauer, EY, or Sustainable Packaging Coalition trackers",Florida Senate – SB 1822 (2025); Florida Senate – HB 565 (2025) via FL Senate tracking; Florida House – HB 6023 (2025); Florida Senate – SB 836 (2025); Florida Senate – SB 766 (2026); Florida Senate – HB 629 (2026); Mayer Brown – EPR Packaging Laws Moving from Concept to Compliance (Feb 2026); Holland & Knight – State EPR Laws Update (Jan 2026); Proskauer – 2025 Guide to EPR Packaging Compliance (Oct 2025); Sustainable Packaging Coalition – Packaging Policy Roundup (May 2026); Sustainable Packaging Coalition – Packaging Policy Roundup (Jun 2026); EY – US Packaging EPR in 2026: Costs and Compliance (Jun 2026),https://www.flsenate.gov/Session/Bill/2025/1822 ; https://www.flsenate.gov/Session/Bill/2025/565/ByCategory ; https://www.flhouse.gov/Sections/Bills/billsdetail.aspx?BillId=81348 ; https://www.flsenate.gov/Session/Bill/2025/836 ; https://www.flsenate.gov/Session/Bill/2026/766 ; https://www.flsenate.gov/Session/Bill/2026/629 ; https://www.mayerbrown.com/en/insights/publications/2026/02/epr-packaging-laws-moving-from-concept-to-compliance ; https://www.hklaw.com/en/insights/publications/2026/01/the-latest-pandoras-box-what-you-need-to-know-now-about-state-epr-laws ; https://www.proskauer.com/alert/the-2025-guide-to-epr-packaging-compliance ; https://sustainablepackaging.org/2026/05/21/packaging-policy-news/ ; https://sustainablepackaging.org/2026/06/22/packaging-policy-news/ ; https://www.ey.com/en_us/insights/sustainability/us-packaging-epr-in-2026-costs-and-compliance
,GA,Georgia,none,"Georgia HB 1237 (Pollution Prevention and Producer Responsibility Act of 2026) was introduced February 6, 2026, and died in committee without advancing.","HB 1237 was introduced on February 6, 2026, and referred to the House Natural Resources and Environment Committee (House Second Readers as of February 10, 2026), but died in committee. The bill would have established a comprehensive EPR framework covering packaging, paper products, and beverage containers, including an advisory board, recycling and composting standards, toxin reduction requirements, and reporting and enforcement provisions. No EPR packaging law is currently enacted in Georgia.","February 6, 2026: HB 1237 (Pollution Prevention and Producer Responsibility Act of 2026) introduced in Georgia House | February 10, 2026: Bill referred to House Natural Resources and Environment Committee (House Second Readers) | 2026 legislative session: HB 1237 died in committee — no further advancement","Proskauer Rose LLP – EPR Packaging Law Update (July 1, 2026); LegiScan – Georgia HB1237 (2025-2026 Regular Session); RegASK – Georgia House Bill 1237 Proposes EPR for Packaging and Beverage Containers; EY – US Packaging EPR in 2026: Costs and Compliance",https://www.proskauer.com/alert/extended-producer-responsibility-packaging-law-update ; https://legiscan.com/GA/bill/HB1237/2025 ; https://regask.com/georgia-house-bill-1237-proposes-extended-producer-responsibility-for-packaging-and-beverage-containers/ ; https://www.ey.com/en_us/insights/sustainability/us-packaging-epr-in-2026-costs-and-compliance
,HI,Hawaii,passed,"Hawaii HB 750 signed into law May 27, 2025; requires the Department of Health to conduct a statewide needs assessment for packaging materials and paper products EPR program, with findings due to the Legislature by December 31, 2027. A separate full EPR bill, HB 1264, was introduced January 2025 and carried over to the 2026 Regular Session but has not advanced further.","HB 750 is enacted law: the Department of Health began needs assessment work on July 1, 2025, supported by $1.5 million in annual funding for FY2026 and FY2027, and an advisory council is being established to review draft findings and propose recommendations. HB 1264, which would create a full fee-based EPR program covering all packaging types including bags, was introduced in January 2025, referred to House committees, and carried over to the 2026 session with no further committee action reported. No new Hawaii EPR packaging bills have been identified as introduced or advanced in the 30 days prior to this report.","HB 750 signed into law by Gov. Josh Green on May 27, 2025 | DOH needs assessment work commenced July 1, 2025 | Advisory council to be established to guide needs assessment process | Needs assessment report due to Legislature by December 31, 2027 | HB 1264 (full EPR program for all packaging types including bags) introduced January 22, 2025; carried over to 2026 Regular Session; no further advancement reported","Proskauer – EPR Packaging Law Update (July 1, 2026); Hawaii Legislature – HB 750 Bill Text (capitol.hawaii.gov); Hawaii Legislature – HB 1264 Measure Status 2026 (capitol.hawaii.gov); Sustainable Packaging Coalition – EPR Guide to All Policies; Packaging Dive – Hawaii governor signs packaging EPR study bill (June 2, 2025); National Law Review – Hawaii to Assess Establishment of an EPR Program (July 1, 2025); LegiScan – Hawaii HB 750 (2025 Regular Session); BillTrack50 – HI HB1264",https://www.proskauer.com/alert/extended-producer-responsibility-packaging-law-update ; https://data.capitol.hawaii.gov/sessions/session2025/bills/HB750_.HTM ; https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1264&year=2026 ; https://epr.sustainablepackaging.org/policies ; https://www.packagingdive.com/news/hawaii-recycling-needs-assessment-packaging-epr/749515/ ; https://natlawreview.com/article/hawaii-assess-establishment-epr-program-reduce-packaging-and-paper-waste ; https://legiscan.com/HI/text/HB750/id/3120660 ; https://www.billtrack50.com/billdetail/1799582
,IL,Illinois,pending,"No comprehensive EPR packaging law has been enacted in Illinois. Two tracks are active: (1) Public Act 103-0383 (SB 1555, signed July 2023) established the Statewide Recycling Needs Assessment Advisory Council, which is actively conducting a needs assessment with consultant Eunomia — the draft was delivered to the Advisory Council on June 30, 2026, with a final Advisory Council report due to the General Assembly and Governor by December 1, 2026; and (2) HB 4064 (Extended Producer Responsibility and Recycling Refund Act, introduced May 21, 2025) and companion bill HB 3161 (introduced in the 2026 session) remain in the proposal stage, referred to committee, with no enacted status.","Illinois EPA delivered the draft Statewide Recycling Needs Assessment to the Advisory Council on June 30, 2026; the Advisory Council has 60 days (by approximately August 29, 2026) to submit written comments, and the needs assessment must be finalized by November 1, 2026. The Advisory Council's report of findings and legislative recommendations is due to the General Assembly and Governor by December 1, 2026, after which full EPR packaging legislation is anticipated to follow. Separately, HB 4064 — the full EPR bill that would require producers to join a PRO funding a statewide recycling program covering all packaging materials — remains pending in the House Rules Committee with no advancement recorded.","July 2023: SB 1555 signed into law as Public Act 103-0383, establishing the Statewide Recycling Needs Assessment Advisory Council | May 21, 2025: HB 4064 (Extended Producer Responsibility and Recycling Refund Act) introduced; referred to House Rules Committee | 2026 session: HB 3161 introduced as a companion EPR packaging bill; remains in committee | June 30, 2026: Illinois EPA delivered draft Statewide Recycling Needs Assessment (by Eunomia) to the Advisory Council | By ~August 29, 2026: Advisory Council written comments on draft needs assessment due to Illinois EPA | November 1, 2026: Illinois EPA deadline to finalize the needs assessment | December 1, 2026: Advisory Council report of findings and legislative recommendations due to the General Assembly and Governor","Proskauer – EPR Packaging Law Update (July 1, 2026); Mayer Brown – EPR Packaging Laws Moving from Concept to Compliance (Feb 2026); Beveridge & Diamond – EPR Packaging and Recycled Content Laws (Feb 2025); Illinois EPA – Statewide Recycling Needs Assessment Advisory Council (official); Illinois EPA – SRNAAC Meeting #15 Agenda (May 11, 2026); Illinois Compiled Statutes – 415 ILCS 180 Statewide Recycling Needs Assessment Act (Justia); LegiScan – Illinois HB4064 (104th General Assembly, 2025-2026); Sustainable Packaging Coalition – Packaging Policy News (June 22, 2026); EY – US Packaging EPR in 2026: Costs and Compliance (June 2026); Packaging Dive – Illinois advances foam ban legislation, progresses on EPR study (June 23, 2025)",https://www.proskauer.com/alert/extended-producer-responsibility-packaging-law-update ; https://www.mayerbrown.com/en/insights/publications/2026/02/epr-packaging-laws-moving-from-concept-to-compliance ; https://www.bdlaw.com/publications/epr-packaging-and-recycled-content-laws-continue-to-trend-as-legislatures-consider-policies-to-address-packaging-waste-challenges/ ; https://epa.illinois.gov/topics/waste-management/materials-management/srnaac.html ; https://epa.illinois.gov/content/dam/soi/en/web/epa/topics/waste-management/materials-management/documents/srnaac/051126-Meeting-Agenda.pdf ; https://law.justia.com/codes/illinois/chapter-415/act-415-ilcs-180/ ; https://legiscan.com/IL/bill/HB4064/2025 ; https://sustainablepackaging.org/2026/06/22/packaging-policy-news/ ; https://www.ey.com/en_us/insights/sustainability/us-packaging-epr-in-2026-costs-and-compliance ; https://www.packagingdive.com/news/illinois-packaging-bills-polystyrene-foam-epr-needs-assessment/750836/
,LA,Louisiana,none,"Louisiana has no EPR packaging law passed or pending. Louisiana's Attorney General joined a 17-state federal lawsuit filed June 22, 2026 challenging California's SB 54 packaging EPR law, but Louisiana has introduced no EPR packaging legislation of its own.","No EPR packaging bill (covering any bagging or packaging material type) has been introduced, passed, or is pending in Louisiana as of August 2026. The Louisiana 2026 Regular Session adjourned sine die on June 25, 2026 with no such bill on record. Louisiana's most recent packaging-related action is participating as a plaintiff state in Nebraska v. Heller (Case No. 2:26-at-01047, E.D. Cal.), a federal lawsuit seeking to block California's SB 54 packaging EPR law on Commerce Clause and federalism grounds.","June 22, 2026: Louisiana AG joins 17-state coalition filing federal lawsuit (Nebraska v. Heller) challenging California's SB 54 packaging EPR law | June 25, 2026: Louisiana 2026 Regular Session adjourns sine die with no EPR packaging bill introduced or acted upon","National Association of Wholesaler-Distributors – NAW Joins 17 Attorneys General Challenge; Holland & Knight – States, Industry Groups and Environmental Advocates Challenge California Plastics Rule (June 2026); Steptoe – California's Sweeping Packaging Law Under SB 54: Status Update and Litigation Overview; Mayer Brown – EPR Packaging Laws Moving from Concept to Compliance (Feb. 2026); Proskauer – Seven States and Counting: The 2025 Guide to EPR Packaging Compliance; Sustainable Packaging Coalition – Packaging Policy Roundup (June 2026); Louisiana Legislature – Bill Search (2026 Regular Session); Louisiana Legislature – Act Numbers to Bills Passed (Final update June 25, 2026)",https://www.naw.org/naw-joins-17-attorneys-general-challenge-california-epr-law/ ; https://www.hklaw.com/en/insights/publications/2026/06/states-industry-groups-and-environmental-advocates-challenge ; https://www.steptoe.com/en/news-publications/californias-sweeping-packaging-law-under-sb-54-status-update-and-litigation-overview.html ; https://www.mayerbrown.com/en/insights/publications/2026/02/epr-packaging-laws-moving-from-concept-to-compliance ; https://www.proskauer.com/alert/the-2025-guide-to-epr-packaging-compliance ; https://sustainablepackaging.org/2026/06/22/packaging-policy-news/ ; https://www.legis.la.gov/legis/BillSearch.aspx?sid=last ; https://www.legis.la.gov/legis/ActNumbers.aspx?sid=25RS
,ME,Maine,passed,"Maine's foundational packaging EPR law (LD 1541, signed July 2021) is in active implementation. An amending law (LD 1423, signed June 20, 2025) updated definitions and aligned the program with other state EPR frameworks. The program rule (Chapter 428) was amended in March 2026 to add the Packaging Material Types List (Appendix A). On June 15, 2026, Maine DEP issued an RFP for a Stewardship Organization — a critical milestone that had been repeatedly delayed. The program currently covers all consumer packaging material types regardless of material, including plastic film, poly bags, paper, and other bagging formats used in packaging.","Maine DEP issued the Stewardship Organization RFP on June 15, 2026, marking the start of Step 4 ('Contracting an SO') of the nine-step implementation process. The SO selection and contracting timeline has shifted; DEP now anticipates producer registration and invoicing will begin at the end of 2026, with municipal reimbursements expected to begin at the end of 2027. The earlier May 2026 producer registration deadline has been superseded by this revised schedule.","July 2021: LD 1541 signed — first U.S. state packaging EPR law enacted | December 2024: Maine Board of Environmental Protection adopted final program rule, Chapter 428 | June 20, 2025: LD 1423 signed — amended EPR law to clarify producer definitions, exemptions, and align with shared-responsibility model | March 2026: Chapter 428 amended to add Appendix A (Packaging Material Types List) and align with LD 1423 changes | June 15, 2026: Maine DEP published RFP for Stewardship Organization | End of 2026: Producer registration and invoicing anticipated (revised from May 2026) | End of 2027: Municipal reimbursements anticipated","Maine DEP – EPR for Packaging (official program page); Maine DEP – DEP Announces Stewardship Program RFP (June 15, 2026); Proskauer – Seven States and Counting: The 2025 Guide to EPR Packaging Compliance; Sustainable Packaging Coalition – Packaging Policy Roundup (June 22, 2026); Circular Action Alliance – Maine; Verrill Law – Update on Status of Maine Packaging EPR; Maine DEP – 2026 Annual Product Stewardship Report",https://www.maine.gov/dep/waste/recycle/epr.html ; https://content.govdelivery.com/accounts/MEDEP/bulletins/41c13c3 ; https://www.proskauer.com/alert/the-2025-guide-to-epr-packaging-compliance ; https://sustainablepackaging.org/2026/06/22/packaging-policy-news/ ; https://circularactionalliance.org/circular-action-alliance-maine ; https://www.verrill-law.com/blog/update-on-status-of-maine-packaging-epr/ ; https://www.maine.gov/dep/publications/documents/archive/legislative%20reports/2026/2026%20Final%20Product%20Stewardship%20Report%20with%20Comments%20(1).pdf
